course_title,course_organization,course_rating,course_difficulty
Fundamentos de la escritura académica,Tecnológico de Monterrey,4.7,Beginner
Fundamentos de la gestión del talento humano,UBITS,5.0,Beginner
Fundamentos de la visualización de datos con Tableau,Universidad Austral,3.9,Beginner
"Fundamentos de las Operaciones con Goldman Sachs 10,000 Women",Goldman Sachs,4.7,Mixed
"Fundamentos de las Ventas y el Marketing con Goldman Sachs 10,000 Women",Goldman Sachs,4.8,Mixed
"Fundamentos de los Aspectos Financieros del Negocio con Goldman Sachs 10,000 Women",Goldman Sachs,4.6,Mixed
"Fundamentos de los Clientes y la Competencia con Goldman Sachs 10,000 Women",Goldman Sachs,2.4,Mixed
Fundamentos de probabilidad y aplicaciones,Universidad de los Andes,5.0,Mixed
Fundamentos del Emprendimiento: Pensamiento y Acción,"University of California, Irvine",4.7,Mixed
"Fundamentos del Liderazgo con Goldman Sachs 10,000 Women",Goldman Sachs,4.6,Mixed
Fundamentos del Marketing,Universidad de Palermo,4.7,Mixed
Fundamentos del emprendimiento en la empresa familiar,Tecnológico de Monterrey,3.2,Advanced
Fundamentos del marketing mix,IE Business School,4.6,Beginner
Fundamentos do Suporte Técnico,Cresça com o Google,4.9,Beginner
Fundraising and Development Foundations,"University of California, Davis",4.7,Beginner
Future Development in Supply Chain Finance and Blockchain Technology,New York Institute of Finance,4.5,Mixed
Física: Dimensión y Movimiento,Tecnológico de Monterrey,4.6,Mixed
"Física: Vectores, Trabajo y Energía",Tecnológico de Monterrey,4.3,Mixed
G Suite Mail Management 日本語版,Google Cloud,3.5,Beginner
G Suite Security 日本語版,Google Cloud,2.3,Beginner
GIS Data Acquisition and Map Design,University of Toronto,4.9,Beginner
"GIS Data Formats, Design and Quality","University of California, Davis",4.9,Mixed
"GIS, Mapping, and Spatial Analysis Capstone",University of Toronto,4.9,Beginner
GUI Programming Tutorial: Create a Login System in Python,Coursera Project Network,2.3,Intermediate
GUI programming: Create a Calculator in Python,Coursera Project Network,2.1,Intermediate
"Gabriel García Márquez entre el poder, la historia y el amor",Universidad de los Andes,4.9,Beginner
Gain Actionable Feedback with a 4Ls Retrospective in Miro,Coursera Project Network,4.9,Beginner
Game Design Document: Define the Art & Concepts,California Institute of the Arts,4.6,Intermediate
Game Design and Development 1: 2D Shooter,Michigan State University,4.7,Mixed
Game Design and Development 2: 2D Platformer,Michigan State University,3.2,Mixed
Game Design and Development 4: 3D Platformer,Michigan State University,3.0,Mixed
Game Design and Development 5: Capstone Project,Michigan State University,2.2,Mixed
Game Developers and Esports Organizations,"University of California, Irvine",4.6,Beginner
Game Theory with Python,Coursera Project Network,4.4,Intermediate
Game-Theoretic Solution Concept with Spreadsheets,Coursera Project Network,4.8,Intermediate
Gameplay en videojuegos,Universitat Autònoma de Barcelona,4.2,Mixed
Games without Chance: Combinatorial Game Theory ,Georgia Institute of Technology,4.3,Mixed
"Games, Sensors and Media","University of California, Irvine",4.5,Mixed
Gathering and Developing the News,Michigan State University,4.7,Mixed
Gender Analytics Capstone Project,University of Toronto,4.3,Mixed
Gender Analytics for Innovation,University of Toronto,4.8,Mixed
"Gender, Family, and Social Change in Contemporary South Korea",Yonsei University,4.7,Beginner
General Chemistry: Concept Development and Application,Rice University,4.6,Mixed
General Pathophysiology,Saint Petersburg State University,4.2,Intermediate
Generando modelos con Auto Machine Learning,Coursera Project Network,4.4,Intermediate
Generate API Documentation from Postman,Coursera Project Network,4.4,Beginner
Generate Synthetic Images with DCGANs in Keras,Coursera Project Network,4.5,Advanced
Generate a Report with LibreOffice Base,Coursera Project Network,3.7,Intermediate
Generate a User Experience (UX) Onboarding Map in Miro ,Coursera Project Network,2.2,Intermediate
Generate an Invoice with LibreOffice Base,Coursera Project Network,4.6,Intermediate
Generate an Opportunity Solution Tree in Miro,Coursera Project Network,3.3,Beginner
Generating New Recipes using GPT-2,Coursera Project Network,4.3,Intermediate
Generative Deep Learning with TensorFlow,DeepLearning.AI,4.9,Mixed
Generative Design for Additive Manufacturing,Autodesk,4.8,Mixed
Generative Design for Industrial Applications,Autodesk,4.8,Mixed
Generative Design for Part Consolidation,Autodesk,4.9,Mixed
Generative Design for Performance and Weight Reduction,Autodesk,4.7,Mixed
Genes and the Human Condition (From Behavior to Biotechnology),"University of Maryland, College Park",4.6,Mixed
Genetics and Society: A Course for Educators,American Museum of Natural History,4.6,Mixed
Genius. Talent. Golden Mediocrity,National Research Tomsk State University,4.2,Beginner
Genome Sequencing (Bioinformatics II),University of California San Diego,4.6,Beginner
Genomic Data Science and Clustering (Bioinformatics V),University of California San Diego,4.2,Beginner
Genomics for Law,University of Illinois at Urbana-Champaign,4.8,Beginner
Genomics: Decoding the Universal Language of Life,University of Illinois at Urbana-Champaign,4.6,Beginner
"Genre : quels enjeux ? Violences, globalisation, biomédecine, sexualités.",University of Geneva,4.9,Beginner
Geo-Visualization in Python,Coursera Project Network,4.0,Beginner
Geodesign: Change Your World,The Pennsylvania State University,4.7,Beginner
Geographical Information Systems - Part 1,École Polytechnique Fédérale de Lausanne,3.7,Beginner
Geometric Algorithms,EIT Digital ,4.5,Intermediate
Geometría Analítica Preuniversitaria,Universidad Autónoma Metropolitana,3.9,Intermediate
Geospatial Analysis Project,"University of California, Davis",4.8,Mixed
Geospatial Big Data Visualization with Kepler GL,Coursera Project Network,2.9,Beginner
Geospatial and Environmental Analysis,"University of California, Davis",4.8,Mixed
Gestion et Politique de l'eau ,University of Geneva,4.6,Mixed
Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,4.8,Mixed
Gestión de Proyectos,Tecnológico de Monterrey,4.1,Mixed
Gestión de las empresas de alimentación y bebidas,Università Bocconi,4.8,Mixed
Gestión de marca y producto,IE Business School,4.8,Mixed
Gestión de proyectos: las bases del éxito,"University of California, Irvine",4.7,Mixed
Gestión de riesgos y cambios de proyectos,"University of California, Irvine",3.6,Mixed
Gestión del alcance: el qué de la triple restricción,Universidad de los Andes,4.9,Intermediate
Gestión del canal de distribución y retailing    ,IE Business School,4.7,Mixed
Gestión del talento humano,Universidad Nacional Autónoma de México,4.8,Beginner
Gestión integral del riesgo de desastres,Universidad Nacional Autónoma de México,4.8,Beginner
Gestão de Marca & Crise de Imagem,Fundação Instituto de Administração,4.8,Intermediate
Gestão de Operações,Insper,4.8,Beginner
Gestão de produtos digitais: Princípios básicos modernos,University of Virginia,3.4,Mixed
Get Creative with Google Drawings for Education,Coursera Project Network,4.3,Mixed
Get Familiar with ML basics in a Kaggle Competition,Coursera Project Network,4.4,Beginner
Get Organized: How to be a Together Teacher,Relay Graduate School of Education,4.7,Mixed
Get Started with Empathy Mapping the User Experience in Miro,Coursera Project Network,2.3,Beginner
Get Started with Inkscape,Coursera Project Network,2.1,Beginner
Get Started with User Experience (UX) Design in Miro,Coursera Project Network,3.1,Beginner
Get Up and Running with TypeScript,Coursera Project Network,2.2,Beginner
Get organized with Trello Boards,Coursera Community Project Network,3.8,Beginner
Getting Started With Application Development,Google Cloud,4.5,Intermediate
Getting Started With Game Development Using PyGame,Coursera Project Network,4.2,Beginner
Google Apps Script Tutorial for Beginners,Coursera Project Network,4.7,Mixed
Getting Started in GIMP,Coursera Project Network,4.6,Beginner
Google Analytics Tutorial for Beginners,Coursera Project Network,4.5,Mixed
Getting Started on Mainframe with z/OS Commands and Panels,IBM,4.7,Intermediate
Getting Started with AI using IBM Watson,IBM,4.5,Beginner
Getting Started with ASP.NET Core Razor Pages,Coursera Project Network,4.2,Intermediate
Getting Started with Adobe Spark,Coursera Project Network,4.9,Mixed
Getting Started with Application Development 日本語版,Google Cloud,4.5,Intermediate
Getting Started with Azure,LearnQuest,4.4,Beginner
Azure DevOps Boards Tutorial,Coursera Project Network,4.5,Mixed
Getting Started with Blazor Server,Coursera Project Network,4.8,Intermediate
Getting Started with Blazor WASM,Coursera Project Network,4.8,Intermediate
Getting Started with Cascading Style Sheet,Coursera Project Network,4.8,Beginner
Getting Started with Data Analytics on AWS,Amazon Web Services,4.9,Beginner
Google Classroom Tutorial,Coursera Project Network,4.8,Mixed
Getting Started with Google Kubernetes Engine en Español,Google Cloud,4.6,Intermediate
Getting Started with Google Kubernetes Engine 日本語版,Google Cloud,2.7,Intermediate
Getting Started with Linux Terminal,Coursera Project Network,4.6,Beginner
Power BI Desktop Tutorial for Beginners,Coursera Project Network,4.7,Beginner
Getting Started with ProfitBooks ,Coursera Project Network,4.8,Mixed
Getting Started with PyTorch,Coursera Project Network,3.1,Beginner
Getting Started with R Programming,Coursera Project Network,4.2,Beginner
Getting Started with Rstudio,Coursera Project Network,4.7,Beginner
Getting Started with SAS Visual Analytics ,SAS,4.7,Beginner
Getting Started with Spatial Analysis in GeoDa,Coursera Project Network,3.8,Beginner
Getting Started with Tensorflow 2,Coursera Project Network,4.6,Beginner
Getting Started with Tensorflow.js,Coursera Project Network,2.2,Intermediate
Getting Started with Version Control in RStudio,Coursera Project Network,2.6,Beginner
Getting Your Film off the Ground ,Michigan State University,4.6,Beginner
Getting started in cryo-EM,Caltech,4.9,Mixed
Getting started with AWS Elastic Container Registry (ECR),Coursera Project Network,4.2,Intermediate
Getting started with Augmented Reality,Institut Mines-Télécom,4.3,Intermediate
Getting started with TensorFlow 2,Imperial College London,4.9,Intermediate
Git + GitHub for Open Source Collaboration,Coursera Project Network,4.2,Beginner
Git for Developers Using Github,Coursera Project Network,4.5,Beginner
Giving 2.0: The MOOC,Stanford University,4.6,Mixed
Giving Helpful Feedback,University of Colorado Boulder,4.7,Mixed
Giving Sense to Your Leadership Experience,HEC Paris,4.6,Mixed
Global Adolescent Health,The University of Melbourne,4.7,Beginner
Global Arctic,École Polytechnique Fédérale de Lausanne,4.8,Intermediate
Global Challenges in Business Capstone,University of Illinois at Urbana-Champaign,4.6,Mixed
"Global Disease Masterclass: Communicable Diseases Epidemiology, Intervention and Prevention",Imperial College London,4.8,Beginner
Global Disease Masterclass: Global Disease Distribution,Imperial College London,4.4,Beginner
Global Disease Masterclass: Non-communicable Diseases,Imperial College London,4.7,Beginner
Global Health Diplomacy,The State University of New York,4.6,Beginner
Global Health Policy,The University of Tokyo,4.7,Beginner
"Global Health Security, Solidarity and Sustainability through the International Health Regulations",University of Geneva,4.7,Intermediate
Global Health and Humanitarianism,University of Manchester   ,4.7,Beginner
Global Health at the Human-Animal-Ecosystem Interface,University of Geneva,4.7,Intermediate
Global Health: An Interdisciplinary Overview,University of Geneva,4.5,Mixed
Global Impact: Business Ethics,University of Illinois at Urbana-Champaign,4.7,Intermediate
Global Impact: Cultural Psychology,University of Illinois at Urbana-Champaign,4.7,Mixed
"Global Postharvest Loss Prevention: Fundamentals, Technologies, and Actors",University of Illinois at Urbana-Champaign,4.7,Beginner
Global Public Procurement,Korea Advanced Institute of Science and Technology(KAIST),4.7,Mixed
Global Quality Maternal and Newborn Care,Yale University,4.8,Intermediate
Global Statistics - Composite Indices for International Comparisons,University of Geneva,4.6,Intermediate
Global Strategy I: How The Global Economy Works,University of Illinois at Urbana-Champaign,4.9,Mixed
Global Strategy II: Doing Business in The Global Economy,University of Illinois at Urbana-Champaign,4.9,Mixed
Global Warming I: The Science and Modeling of Climate Change,The University of Chicago,4.6,Mixed
Global Warming II: Create Your Own Models in Python,The University of Chicago,4.2,Mixed
Global sustainability and corporate social responsibility: Be sustainable,Macquarie University,4.8,Beginner
Gmail,Google Cloud,4.9,Beginner
Gmail para Principiantes: bases a las aplicaciones de Google,Coursera Project Network,2.9,Mixed
Gmail: The Foundation To Accessing Google Apps,Coursera Project Network,4.6,Mixed
Google Ads Tutorial for Beginners,Coursera Project Network,4.5,Mixed
Google Ads para principiantes,Coursera Project Network,3.7,Beginner
"Google Ads, branding y creatividad en la estrategia",Coursera Project Network,2.2,Intermediate
Google Calendar,Google Cloud,4.8,Beginner
Google Cloud Fundamentals for Azure Professionals: Core Infrastructure,Google Cloud,4.8,Beginner
Google Cloud Platform Big Data and Machine Learning Fundamentals em Português Brasileiro,Google Cloud,4.8,Intermediate
Google Cloud Platform Big Data and Machine Learning Fundamentals en Español,Google Cloud,4.7,Intermediate
Google Cloud Platform Big Data and Machine Learning Fundamentals en Français,Google Cloud,4.3,Intermediate
Google Cloud Platform Big Data and Machine Learning Fundamentals 日本語版,Google Cloud,4.4,Intermediate
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,4.7,Intermediate
Google Cloud Platform Fundamentals: Core Infrastructure dalam bahasa Indonesia,Google Cloud,4.9,Intermediate
Google Cloud Platform Fundamentals: Core Infrastructure em Português Brasileiro,Google Cloud,4.8,Intermediate
Google Cloud Platform Fundamentals: Core Infrastructure en Español,Google Cloud,4.8,Intermediate
Google Cloud Platform Fundamentals: Core Infrastructure en Français,Google Cloud,4.7,Intermediate
Google Cloud Platform Fundamentals: Core Infrastructure 日本語版,Google Cloud,4.5,Intermediate
Google Cloud Product Fundamentals,Google Cloud,4.7,Beginner
Google Cloud Product Fundamentals auf Deutsch,Google Cloud,4.9,Beginner
Google Cloud Product Fundamentals em Português Brasileiro,Google Cloud,4.4,Beginner
Google Cloud Product Fundamentals en Español,Google Cloud,4.8,Beginner
Google Cloud Product Fundamentals en Français,Google Cloud,3.7,Beginner
Google Cloud Product Fundamentals 日本語版,Google Cloud,4.0,Beginner
Google Data Analytics Capstone: Complete a Case Study,Google,3.1,Mixed
Google Data Studio - Création de Tableaux de Bords Interactifs,Coursera Project Network,4.3,Intermediate
Google Docs,Google Cloud,3.7,Beginner
Google Docs - Créer des Documents Professionnels,Coursera Project Network,2.0,Beginner
Google Drive,Google Cloud,4.5,Beginner
Google Meet and Google Chat,Google Cloud,5.0,Beginner
Google Script بواسطةHTML Google Sheets جدولة البريد من جدول ,Coursera Project Network,4.2,Beginner
Google Sheets,Google Cloud,5.0,Beginner
Google Slides,Google Cloud,3.6,Beginner
Google Suite for Project Collaboration,Coursera Project Network,4.7,Mixed
Google Suite for Project Communications,Coursera Project Network,4.8,Mixed
Google Workspace Mail Management,Google Cloud,4.8,Beginner
Google Workspace Security,Google Cloud,4.7,Beginner
Grab Data Fast with Vertical and Horizontal LOOKUP ,Coursera Project Network,4.3,Mixed
Grabación y postproducción musical dentro y fuera del estudio,Universidad Nacional Autónoma de México,4.7,Intermediate
Graduate Admission Prediction with Pyspark ML,Coursera Project Network,4.8,Intermediate
Graficando con Python,Coursera Project Network,2.4,Intermediate
Grant Proposal,Moscow Institute of Physics and Technology,4.5,Intermediate
Graph Analytics for Big Data,University of California San Diego,4.3,Mixed
"Graph Search, Shortest Paths, and Data Structures",Stanford University,4.8,Intermediate
Graphic Design,University of Colorado Boulder,4.8,Mixed
Graphic Design: Make Interior's Project Mood Boards in Gimp,Coursera Project Network,4.7,Intermediate
Graphic Elements of Design: Color Theory and Image Formats,University of Colorado Boulder,4.7,Mixed
Graphic design: create simple customised patterns using Gimp,Coursera Project Network,4.6,Intermediate
Graphing with ggplot2,Coursera Project Network,4.2,Beginner
"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",Stanford University,4.8,Intermediate
Green Business Strategy,The Hong Kong University of Science and Technology,4.6,Beginner
Greening the Economy: Lessons from Scandinavia,Lund University,4.7,Mixed
"Grow Your Business with Goldman Sachs 10,000 Women",Goldman Sachs,4.7,Mixed
"Grow to Greatness: Smart Growth for Private Businesses, Part I",University of Virginia,4.7,Mixed
"Grow to Greatness: Smart Growth for Private Businesses, Part II",University of Virginia,4.8,Mixed
Growing Great Writers with Writable,Coursera Project Network,4.3,Beginner
Grundlagen der Geschäftsstrategie,University of Virginia,4.8,Mixed
Grundlagen der Unfallchirurgie,Technische Universität München (TUM),4.8,Mixed
Grundlagen des Grafikdesigns,California Institute of the Arts,2.9,Beginner
Guidance to Keep Newborn Babies Safe and Healthy,University of Colorado System,4.8,Beginner
Guided Imagery,University of Minnesota,4.8,Mixed
Guided Tour of Machine Learning in Finance,New York University,3.8,Intermediate
Guitar Performance Techniques,Berklee College of Music,4.4,Mixed
Guitar Scales and Chord Progressions,Berklee College of Music,4.7,Mixed
Géopolitique de l'Europe,Sciences Po,4.5,Mixed
Gérer les risques et les modifications d’un projet,"University of California, Irvine",3.8,Mixed
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Administrative/IT Perspective)",Columbia University,4.7,Beginner
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Clinical Perspective)",Columbia University,4.6,Beginner
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Social/Peer Perspective)",Columbia University,4.7,Beginner
HTML and CSS: Building a Single-Page Website,Coursera Project Network,4.6,Beginner
HTML و CSS انشاء تطبيق متعدد الصفحات باستخدام ,Coursera Project Network,4.9,Beginner
HTML&CSS basics: create and design your first webpage,Coursera Project Network,3.8,Beginner
Habilidades de Excel Aplicadas a Negocios: Nivel Avanzado,Macquarie University,2.6,Intermediate
Habilidades de Excel para el negocio: Conceptos básicos,Macquarie University,4.6,Mixed
Habilidades de Excel para el negocio: Intermedio I,Macquarie University,3.0,Intermediate
Habilidades de Excel para negócios: Fundamentos,Macquarie University,4.6,Mixed
Habilidades gerenciales: Proyecto final,Universidad Nacional Autónoma de México,4.8,Beginner
Habilidades humanas y de negocios para negociar,Universidad Nacional Autónoma de México,4.8,Mixed
Hacer negocios con multinacionales y empresas en América Latina,Universidad de los Andes,4.9,Beginner
Hacking COVID-19 — Course 1: Identifying a Deadly Pathogen,University of California San Diego,4.6,Mixed
Hacking Exercise For Health. The surprising new science of fitness.,McMaster University,4.7,Beginner
Hacking and Patching,University of Colorado System,3.9,Intermediate
Hadoop Platform and Application Framework,University of California San Diego,4.0,Mixed
Hand Gesture Recognition using Tensorflow and Keras,Coursera Project Network,2.7,Beginner
Handheld AR App Development with Unity,Unity,3.9,Intermediate
Handle Missing Survey Data Values in Google Sheets   ,Coursera Project Network,5.0,Mixed
Handling Imbalanced Data Classification Problems,Coursera Project Network,4.5,Intermediate
Hands-On Labs in Google Cloud for Networking Engineers,Google Cloud,4.8,Intermediate
Hands-On Labs in Google Cloud for Security Engineers,Google Cloud,4.8,Mixed
Hands-on Text Mining and Analytics,Yonsei University,3.9,Intermediate
Hardware Security,"University of Maryland, College Park",4.3,Mixed
"Haz Crecer Tu Negocio con Goldman Sachs 10,000 Women",Goldman Sachs,4.8,Mixed
Health Across the Gender Spectrum,Stanford University,4.8,Beginner
Health Behavior Change: From Evidence to Action,Yale University,4.8,Beginner
Health Care Delivery in Healthcare Organizations,Rutgers the State University of New Jersey,4.7,Beginner
Health Care IT: Challenges and Opportunities,Icahn School of Medicine at Mount Sinai,4.7,Mixed
Health Care Innovation,University of Pennsylvania,4.6,Mixed
Health Coaching Conversations,Imperial College London,4.8,Mixed
Health Concepts in Chinese Medicine,The Hong Kong University of Science and Technology,4.6,Beginner
Health Systems Development: A Focus on Health Service Delivery and Human Resources for Health,Imperial College London,4.7,Beginner
"Health Systems Development: Health systems, Policy and Research",Imperial College London,4.9,Beginner
Health Systems Development: Introduction to Health Systems,Imperial College London,4.8,Beginner
Health and healthcare in transition: dilemmas of governance,National Research Tomsk State University,4.1,Beginner
Health in Complex Humanitarian Emergencies,Emory University,4.8,Intermediate
"Health, Housing, and Educational Services",Columbia University,4.9,Beginner
"Health, Society, and Wellness in COVID-19 Times ",University of Colorado Boulder,3.9,Mixed
Healthcare Consumerism and Implication for Care Delivery ,Northeastern University ,4.5,Beginner
Healthcare Data Literacy,"University of California, Davis",4.5,Intermediate
Healthcare Data Models,"University of California, Davis",4.4,Intermediate
Healthcare Data Quality and Governance,"University of California, Davis",4.5,Intermediate
Healthcare Delivery Providers,University of Minnesota,4.7,Mixed
Healthcare Entrepreneurship: Taking Ideas to Market,Imperial College London,4.6,Intermediate
Healthcare Innovation: What Does Success Look Like and How to Achieve It?,Imperial College London,4.6,Beginner
Healthcare Marketplace Capstone,University of Minnesota,4.7,Mixed
Healthcare Organizations and the Health System,Rutgers the State University of New Jersey,4.6,Beginner
Healthy Aging and the Future of Cannabis Research,University of Colorado Boulder,4.8,Mixed
"Healthy Practices: Nutrition, Physical Activity, and Community and Family Participation",University of Colorado System,4.7,Beginner
Hearing Loss in Children,University of Michigan,4.9,Intermediate
Hedging Foreign Exchange Risk,Coursera Project Network,3.2,Intermediate
Herbal Medicine,University of Minnesota,4.9,Mixed
Herramientas de la Economía Circular,Universidad de los Andes,4.7,Beginner
Herramientas ofimáticas básicas para el trabajo,UBITS,3.7,Beginner
Herramientas para la ciencia de datos,IBM,4.5,Beginner
Hide and Reveal Secret Rooms in Unity,Coursera Project Network,3.9,Beginner
Hierarchical Clustering using Euclidean Distance,Coursera Project Network,3.0,Intermediate
Hierarchical Clustering: Customer Segmentation,Coursera Project Network,4.3,Intermediate
High Level Biocontainment for Healthcare Facilities,University of Nebraska,4.7,Intermediate
High Stakes Leadership: Leading in Times of Crisis,University of Michigan,4.6,Mixed
Hiring & Retaining Top Talent for People Managers,Coursera Project Network,2.4,Intermediate
Hiring and Onboarding Employees with ClickUp,Coursera Project Network,4.5,Intermediate
Historia de las reglas del fútbol en Inglaterra y en Argentina,Universidad Austral,4.7,Beginner
Historia del Arte: Del Arte Prehistórico al Renacimiento,Universidad de Palermo,4.6,Beginner
Historia del Arte: Del Barroco al Arte Posmoderno,Universidad de Palermo,4.9,Mixed
History of Medical Cannabis,University of Colorado Boulder,4.8,Mixed
"History of Rock, Part One",University of Rochester,4.8,Mixed
"History of Rock, Part Two",University of Rochester,4.8,Mixed
Hojas de cálculo de Google para registro de calificaciones,Coursera Project Network,4.9,Beginner
Hojas de cálculo para principiantes con Google Sheets,Coursera Project Network,4.6,Beginner
Homeland Security & Cybersecurity Connection - It's Not About the Terrorists,University of Colorado System,4.7,Beginner
Homeland Security and Cybersecurity Future,University of Colorado System,4.6,Beginner
Hospedando Website Estático (HTML/CSS/Javascript) no AWS S3,Coursera Project Network,4.3,Beginner
Hospital management database using SQL server,Coursera Project Network,3.1,Beginner
Host a Quiz Review with Blooket,Coursera Project Network,2.3,Beginner
Hosting a Static Website (HTML/CSS/Javascript) in AWS S3,Coursera Project Network,4.4,Beginner
Hot Topics in Criminal Justice,Vanderbilt University,4.6,Beginner
How Do We Manage Climate Change?,University of Colorado Boulder,5.0,Beginner
How Entrepreneurs in Emerging Markets can master the Blockchain Technology,University of Cape Town,4.5,Beginner
How Google does Machine Learning,Google Cloud,4.6,Intermediate
How Google does Machine Learning em Português Brasileiro,Google Cloud,4.8,Intermediate
How Google does Machine Learning en Español,Google Cloud,4.6,Intermediate
How Google does Machine Learning en Français,Google Cloud,4.3,Intermediate
How Google does Machine Learning 日本語版,Google Cloud,4.5,Intermediate
How Music Can Change Your Life,The University of Melbourne,4.7,Beginner
How Software Ate Finance,Stanford University,4.8,Mixed
How Technology is Shaping Democracy and the 2020 Election,Stanford University,4.5,Beginner
How To Build a Network Topology Using GNS3,Coursera Project Network,4.6,Beginner
How To Land the Job You Want (Capstone Project),"University of Maryland, College Park",3.0,Mixed
How To Teach Us,High Tech High Graduate School of Education,4.3,Mixed
How to Apply to College,University of Pennsylvania,4.7,Beginner
How to Change the World,Wesleyan University,4.7,Beginner
How to Create Text Effects in GIMP,Coursera Project Network,4.8,Intermediate
How to Create a Program Evaluation for Your Non-Profit ,Coursera Project Network,3.3,Mixed
How to Create a Web Application Using ReactJS and .NET 5,Coursera Project Network,3.5,Intermediate
How to Design a Space-Saving Table Using SketchUp,Coursera Project Network,4.5,Beginner
How to Effectively Use Tweetdeck,Coursera Project Network,4.0,Mixed
How to Get Skilled: Introduction to Individual Skills Management (Project-Centered Course),The State University of New York,3.8,Intermediate
How to Implement Multitenancy in Django,Coursera Project Network,2.7,Intermediate
How to Innovate with the Strategy Canvas for Competitiveness,Coursera Project Network,2.5,Intermediate
How to Make Image Editing Selections in GIMP,Coursera Project Network,4.8,Intermediate
How to Make a Comic Book (Project-Centered Course),High Tech High Graduate School of Education,4.6,Mixed
How to Manage a Remote Team,GitLab,4.8,Mixed
How to Secure your Network Device using Cisco Packet Tracer ,Coursera Project Network,3.5,Beginner
How to Use Microsoft Azure ML Studio for Kaggle Competitions,Coursera Project Network,4.8,Intermediate
How to Use RapidAPI,Coursera Project Network,2.8,Intermediate
How to Use the Business Model Canvas for Strategic Analysis ,Coursera Project Network,2.8,Intermediate
How to Use the QSPM to Analyze and Set the Right Strategy,Coursera Project Network,3.6,Intermediate
How to Validate your Startup Idea,UNSW Sydney (The University of New South Wales),4.3,Mixed
How to Win a Data Science Competition: Learn from Top Kagglers,HSE University,4.7,Advanced
How to Write a Resume (Project-Centered Course),The State University of New York,4.6,Mixed
How to Write and Publish a Scientific Paper (Project-Centered Course),École Polytechnique,4.6,Mixed
How to finance your venture ?,École Polytechnique,4.2,Intermediate
Human Predicament Complex Modeling,Coursera Project Network,4.8,Beginner
Human Resources Analytics,"University of California, Irvine",4.8,Mixed
Human Resources Management Capstone: HR for People Managers,University of Minnesota,4.8,Mixed
Human Rights for Open Societies,Utrecht University,4.8,Beginner
Human-Centered Design for Inclusive Innovation,University of Toronto,4.9,Mixed
Human-Centered Design: an Introduction,University of California San Diego,4.7,Mixed
Humanidades digitales,Universitat Autònoma de Barcelona,4.6,Beginner
Humanitarian communication : Addressing key challenges,University of Geneva,4.7,Intermediate
Hybrid Cloud Infrastructure Foundations with Anthos,Google Cloud,4.7,Intermediate
Hybrid Cloud Multi-Cluster with Anthos,Google Cloud,4.8,Advanced
Hybrid Cloud Service Mesh with Anthos,Google Cloud,4.8,Intermediate
Hyperparameter Tuning with Neural Network Intelligence,Coursera Project Network,4.8,Intermediate
Hypothesis Testing in R,Coursera Project Network,4.3,Intermediate
Hypothesis-Driven Development,University of Virginia,4.7,Mixed
Hôtel “De l'étoile” - a hotel in crisis? ,ESSEC Business School,4.6,Mixed
I/O-efficient algorithms,EIT Digital ,4.6,Advanced
IA para todos,DeepLearning.AI,4.9,Mixed
IBM Cloud Essentials,IBM,4.3,Mixed
IBM Cybersecurity Analyst Assessment ,IBM,4.7,Intermediate
IBM Data Analyst Capstone Project,IBM,4.6,Mixed
IBM Data Privacy for Information Architecture,IBM,4.6,Mixed
IBM Data Topology,IBM,4.9,Intermediate
IBM IT Assessment: Identifying the Right Career for You!,IBM,3.8,Mixed
ICT in Primary Education: Transforming children's learning across the curriculum,University of London,4.6,Beginner
IS/IT Governance,University of Minnesota,4.7,Mixed
IT Infrastructure and Emerging Trends,University of Minnesota,4.9,Mixed
IT Project Management,Indian School of Business,4.4,Beginner
IT Ticket Management with Typeform,Coursera Project Network,4.7,Beginner
ITIL 4 Exam Preparation,LearnQuest,4.8,Mixed
Ideal Gases,University of Colorado Boulder,4.5,Advanced
Ideas from the History of Graphic Design,California Institute of the Arts,4.7,Beginner
Identify One Source of Truth with a Project Wall in Miro,Coursera Project Network,3.3,Beginner
Identify UX Opportunities with Service Blueprints in Miro ,Coursera Project Network,2.7,Intermediate
Identify UX Pain Points with Empathy Maps in Miro,Coursera Project Network,4.0,Beginner
Identifying Patient Populations,University of Colorado System,4.5,Mixed
Identifying Security Vulnerabilities,"University of California, Davis",4.6,Mixed
Identifying Security Vulnerabilities in C/C++Programming,"University of California, Davis",4.6,Intermediate
Identifying Social Entrepreneurship Opportunities,Copenhagen Business School,4.7,Beginner
"Identifying, Attracting, and Growing Your Digital Audience","University of California, Irvine",4.4,Mixed
"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery	",(ISC)²,4.8,Beginner
Ignite Your Everyday Creativity,The State University of New York,4.4,Mixed
Image Classification with Amazon Sagemaker,Coursera Project Network,4.6,Advanced
Image Colorization using TensorFlow 2 and Keras,Coursera Project Network,3.9,Beginner
Image Compression and Generation using Variational Autoencoders in Python,Coursera Project Network,4.7,Intermediate
